Item ID,String.object_name,String.object_desc,String.object_classification
03024-022P,"Ferrite Bead,03024-022P,30,4A,25%,SMD,1206","9-August-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000453
03024-023M,"Ferrite Bead,03024-023M,3A,20%,SMD,1206","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000453
06005-01HYC,"Filter,DVMH28,2A,TH","9-August-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000453
06024-01HXC,"Filter,DVMD28,TH","9-August-2023_CIS_Export : ",CLS-1000453
1PPS2802G0,"MCG ONLY,Optocouplers,PS2802-4-A,SMD,SO-16","9-August-2023_CIS_Export : 60 - COMPONENTS GROUP, BLACKSBURG OPS",CLS-1000455
4200-0005,"Inductor,22uH,0.25A,10%,SMD","9-August-2023_CIS_Export : D4 - MOOG MILPITAS OPERATIONS, CA",CLS-1000453
4200-0064-01,"Inductor,10uH,1.2A,20%,SMD,SMD","9-August-2023_CIS_Export : D4 - MOOG MILPITAS OPERATIONS, CA",CLS-1000453
4200-0077-01,"Inductor,10uH,20%,SMD,2010","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000453
4200-0080-01,"Inductor,22uH,0.51A,20%,SMD,1212","9-August-2023_CIS_Export : D4 - MOOG MILPITAS OPERATIONS, CA",CLS-1000453
4570-0006-01,"Filter,3300pF,2A,-20%/+80%,SMD,2706","9-August-2023_CIS_Export : D4 - MOOG MILPITAS OPERATIONS, CA",CLS-1000453
