Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CC12256-001,"NO DWG,ICs,UCC27517,SMD,SOT23-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12257-001,"NO DWG,ICs,NCP303LSN36T1G,SMD,TSOP-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12286-001,"NO DWG,ICs,Reference and Regulator,LTM4627,SMD,LGA-133","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12296-001,"NO DWG,ICs,Digital Device,M74VHC1G135DF*G,SMD,SOT353-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12297-001,"NO DWG,ICs,Comparator,LMV761MF/NOPB,SMD,SOT23-6","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12300-001,"NO DWG,ICs,LT3092MPST,SMD,SOT223-4","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12316-001,"NO DWG,ICs,Reference and Regulator,LTC6655,SMD,MSOP-8","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12355-042,"Capacitors,4.3pF,50V,0.25pF,C0G,SMD,0402","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000446,US,Commercial
CC12355-044,"Capacitors,5.1pF,50V,0.25pF,C0G,SMD,0402","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000446,US,Commercial
CC12356-001,"NO DWG,ICs,Memory Device,MR25H10MDC,SMD,DFN-8","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CC12357-001,"NO DWG,ICs,Memory Device,GS864236B-250M,SMD,BGA-119","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
